'-0.283ETA_Epsilon_2+0.27 MLogP+0.265SpMin4_Bhm-0.258AATSC0s-0.246Mpe...',-0.362GGI9-0.314SpMAD_Dze-0.286ALogp2-0.235SpMin3_Bhp+0.227AVP-2...,-0.337BCUTc-1l+0.283ATSC3e-0.274AATS0m-0.229AATS3p+0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,0.438SIC4+0.426BIC3-0.261AATSC5c-0.221VR1_Dze-0.206JGT...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,0.349MDEC-13+0.339maxHBint5-0.328GATS4p-0.328JGT-0.305VR1_Dzv...,'-0.523ALogp2+0.33 AATSC0s+0.283ATSC7c-0.232AATS3p+0.209GATS5e...',0.528VR1_Dzv-0.488VR1_Dze+0.302ATSC7c+0.194ETA_dEpsilon_D-0.193AATSC0s...,Results
2.167055,-1.368054,1.491857,-0.155535,0.181435,-0.09026,-0.013419,0.347057,0.452849,K
-6.017618,3.77485,3.721849,0.247418,-4.143864,-0.883168,0.558948,0.100544,-1.033622,K
3.805261,0.240047,-1.52368,0.288122,-2.209162,1.304764,-0.378714,0.441173,0.117761,K
-1.691051,0.789923,0.525824,-0.614809,1.984687,1.5589,-0.778628,0.325375,-0.154974,C
-8.516464,1.604025,2.035646,-1.861285,-2.072043,1.133877,0.199916,0.261639,0.276598,C
2.709533,0.731177,-0.457503,-1.390274,-1.797323,0.68157,-0.972883,0.191232,-0.416583,K
2.0434,-2.221846,2.374514,-0.273626,0.252522,-0.566686,-0.713203,-1.31578,-0.217598,K
2.985117,1.223206,-0.89171,0.278235,-0.758743,-0.618185,-0.393451,0.676842,-0.231879,C
-2.052266,-4.137795,-5.517436,0.396639,-2.876833,1.962183,0.245476,0.114103,-0.102978,K
-5.141846,0.734663,2.367846,-0.375023,1.246449,0.897172,-0.638685,-0.290539,-0.302194,K
1.772724,0.778029,1.217689,1.730221,0.434402,0.28294,-0.380799,-0.200155,-0.552134,K
-0.054663,-0.068005,-1.183902,-1.40203,-0.461685,1.86054,-0.682503,0.200733,-0.056994,C
-5.775794,-2.013698,1.416826,0.347139,1.190741,1.623929,1.770235,1.00281,0.242263,C
1.933226,0.581814,2.139661,2.544609,-0.168956,5.73839,-0.326481,-0.530018,-0.010192,C
0.182135,2.186349,-1.360719,-3.326223,-0.067407,-0.131351,0.013099,-0.750694,-0.05852,C
0.857009,2.069758,1.123217,0.576992,1.618643,1.509181,0.164764,-0.220905,0.093798,K
0.354715,-0.010748,-0.872312,-3.223932,1.332714,-0.204664,0.333147,0.7354,-0.234656,C
0.802932,-0.437608,-0.279931,1.224325,0.333216,0.131045,-0.392875,-0.000942,-1.190321,C
-1.871949,0.90934,0.234766,-0.502125,1.969817,0.209438,-0.81121,0.249787,-0.167047,K
1.370837,-0.002167,-0.517539,1.05227,0.426192,1.283717,0.429805,0.759413,0.059148,C
1.631553,1.843663,0.674944,3.403709,-0.56095,1.038041,-0.58835,-0.151332,-0.234374,C
1.837094,1.308888,-1.220364,-0.701615,1.075293,1.849046,-0.868164,0.359719,-0.141687,C
0.455307,-0.114772,-0.798307,-3.078514,1.373276,0.111537,0.49676,0.922411,-0.039979,C
-3.779194,0.33158,-6.687731,-1.623054,3.332447,-1.138272,-0.92916,-1.860679,-0.65074,C
-0.778135,0.446591,0.613565,1.360546,2.055734,-0.348285,0.770619,1.733818,0.78493,K
2.553045,1.759381,-0.340945,-2.289643,1.29237,-0.127167,0.032637,0.177059,0.432107,K
0.232364,2.10393,-1.459848,-3.231061,-0.082641,-0.159998,0.169482,-0.555519,0.074153,K
3.026793,1.167508,-0.984722,0.365271,-0.770962,-0.62454,-0.283667,0.825386,-0.105083,C
-2.010591,-4.193493,-5.610448,0.483676,-2.889052,1.955828,0.35526,0.262647,0.023818,C
-0.139861,0.226456,-0.808233,-4.186528,-0.739962,-0.28362,0.430605,-0.030709,0.29107,K
2.679091,-0.253764,-0.713117,0.21944,1.27766,0.68189,0.697082,-0.021836,0.225521,K
2.299753,-1.057916,0.887258,-2.264141,-0.585941,0.187623,1.221202,0.477723,0.484076,K
2.527702,1.827965,-0.256859,-2.38068,1.305148,-0.15418,-0.096135,-0.033485,0.284331,K
-0.181537,0.282155,-0.715221,-4.273564,-0.727743,-0.277265,0.320821,-0.179252,0.164274,C
-2.229865,-1.132597,-0.433173,1.564249,3.37178,1.656676,1.220671,-0.74877,0.142218,C
-3.222484,0.247,-0.371617,0.49921,0.105384,1.608928,1.315303,-1.375014,0.762895,C
2.637416,-0.198065,-0.620104,0.132404,1.289879,0.688245,0.587298,-0.17038,0.098725,C
-1.346853,0.565739,-2.350072,0.673531,3.499337,1.801932,-0.481877,0.281502,-0.710288,K
-1.412982,2.637152,0.722836,-0.587602,0.155054,-0.161553,0.010668,0.215504,0.129291,C
-0.819811,0.50229,0.706577,1.27351,2.067953,-0.34193,0.660835,1.585274,0.658134,K
0.692371,-4.321938,-0.648077,-1.264859,-1.175234,-0.093701,-0.416313,-1.088025,0.09961,C
0.443456,3.09868,-0.327099,1.742346,-2.404179,0.107371,0.098729,-0.723984,-0.41449,C
4.404974,1.97026,0.508937,-1.114268,-0.52284,1.580276,0.487451,0.583538,0.143047,C
-6.017618,3.77485,3.721849,0.247418,-4.143864,-0.883168,0.558948,0.100544,-1.033622,C
-1.933694,0.535753,-3.622456,2.600918,3.935332,-2.03435,-0.471567,0.459503,0.71129,K
-1.691051,0.789923,0.525824,-0.614809,1.984687,1.5589,-0.778628,0.325375,-0.154974,K
-1.748756,1.372933,-0.299479,-1.658787,-2.158888,2.940444,-3.875546,-1.781319,6.628873,C
0.612053,-0.065499,-0.650198,-1.523501,-1.075475,1.755841,-0.443255,0.19884,-0.0597,C
-8.516464,1.604025,2.035646,-1.861285,-2.072043,1.133877,0.199916,0.261639,0.276598,C
2.709533,0.731177,-0.457503,-1.390274,-1.797323,0.68157,-0.972883,0.191232,-0.416583,K
2.327819,1.620422,-0.444876,-1.391723,0.236952,1.279557,-0.258529,0.689142,-0.100228,C
2.0434,-2.221846,2.374514,-0.273626,0.252522,-0.566686,-0.713203,-1.31578,-0.217598,C
-3.455827,2.704972,-1.215475,6.024094,0.794766,0.31735,0.773021,-0.674376,0.357277,C
-5.141846,0.734663,2.367846,-0.375023,1.246449,0.897172,-0.638685,-0.290539,-0.302194,K
2.97424,0.583159,1.46544,1.186455,-0.043798,1.527873,0.86914,0.424943,0.224904,C
1.772724,0.778029,1.217689,1.730221,0.434402,0.28294,-0.380799,-0.200155,-0.552134,C
0.871157,-0.486867,-0.079049,1.15172,0.35057,1.335251,-0.414957,0.204354,-1.078454,C
3.176138,0.653828,-0.617583,-1.75195,-0.902562,1.464278,0.131893,-0.866848,0.002851,C
2.771627,1.372777,1.630123,-0.138638,0.647978,0.569125,1.059091,-0.727025,-0.007271,C
5.094757,3.049003,-0.515823,-1.643219,-1.42149,1.275474,0.630937,-0.464827,0.160012,C
-1.393964,-1.781252,0.101541,-1.891545,2.386927,0.635452,0.33173,-0.248931,-0.592975,K
1.3134,0.061221,-0.57399,0.937738,0.393626,1.063876,0.330204,0.628085,-0.096666,C
-0.054663,-0.068005,-1.183902,-1.40203,-0.461685,1.86054,-0.682503,0.200733,-0.056994,C
0.872872,2.101948,-0.727617,0.371298,1.309496,-0.489499,-0.628901,-1.452418,0.326554,C
-0.181537,0.282155,-0.715221,-4.273564,-0.727743,-0.277265,0.320821,-0.179252,0.164274,K
0.410423,-1.52604,-0.664448,3.463312,-3.719325,1.164977,-0.316575,-0.065388,0.251701,K
1.505246,0.602014,1.379817,1.922506,-0.288928,1.008664,0.27136,0.652679,0.240193,K
2.258078,-1.002218,0.980271,-2.351177,-0.573722,0.193978,1.111418,0.329179,0.35728,K
1.61919,-1.583924,-2.677027,0.892911,-0.734866,-0.133257,0.156253,-0.186198,-0.894232,K
2.167055,-1.368054,1.491857,-0.155535,0.181435,-0.09026,-0.013419,0.347057,0.452849,K
2.985117,1.223206,-0.89171,0.278235,-0.758743,-0.618185,-0.393451,0.676842,-0.231879,C
-2.052266,-4.137795,-5.517436,0.396639,-2.876833,1.962183,0.245476,0.114103,-0.102978,K
2.0184,-0.7524,0.381977,-2.362311,-0.673563,-1.574025,0.918431,0.094569,0.212487,K
2.397738,0.051752,-1.218398,0.121269,1.190038,-1.079758,0.394311,-0.40499,-0.046069,K
-0.421214,0.531972,-1.313515,-4.284698,-0.827584,-2.045268,0.127834,-0.413862,0.019481,K
2.271691,2.064897,-0.846226,-2.387814,1.204747,-1.888815,-0.270134,-0.206094,0.160517,C
-1.930729,1.03974,-0.07247,-0.625943,1.884846,-0.209103,-0.971615,0.090765,-0.299767,K
1.505377,1.63601,-1.89878,-0.850042,0.931874,-0.257449,-1.178166,-0.015271,-0.475281,K
-11.117413,-0.349867,-3.425022,0.100472,-1.361093,-1.107293,-0.147993,-0.415957,0.887418,C
1.299836,2.170784,-0.003472,3.255282,-0.704369,-1.068454,-0.898352,-0.526322,-0.567968,C
1.598354,2.059782,-0.018022,1.67675,-1.362717,-0.222585,-0.274731,-0.177714,0.00805,C
2.088141,1.87024,-1.04317,-1.402858,0.137111,-0.488446,-0.451516,0.454532,-0.245021,C
1.427332,1.862644,0.639934,3.55502,-0.571077,-0.015586,-0.623588,-0.278213,-0.195119,C
-0.193681,0.337618,-0.995409,-4.179105,-0.768545,-1.196246,0.307442,-0.380448,0.150233,K
-2.24201,-1.077134,-0.71336,1.658707,3.330977,0.737696,1.207292,-0.949965,0.128177,C
-2.24201,-1.077134,-0.71336,1.658707,3.330977,0.737696,1.207292,-0.949965,0.128177,K
0.398278,-1.470577,-0.944636,3.557771,-3.760127,0.245996,-0.329954,-0.266583,0.23766,K
0.853243,1.544493,-1.657765,1.08848,2.152265,-1.280701,-0.802256,-0.991456,0.166987,C
2.625271,-0.142602,-0.900292,0.226862,1.249076,-0.230736,0.573919,-0.371575,0.084683,K
1.381785,-0.343513,2.03393,2.352539,-0.030216,-1.029975,-1.082687,-0.16166,0.523346,K
-1.358998,0.621202,-2.630259,0.76799,3.458534,0.882952,-0.495256,0.080307,-0.724329,C
1.493101,0.657478,1.09963,2.016965,-0.329731,0.089683,0.257981,0.451483,0.226152,K
-1.425126,2.692615,0.442648,-0.493144,0.114251,-1.080534,-0.002711,0.014309,0.11525,K
2.386637,1.53628,-1.010529,0.182661,-0.008862,0.951125,0.375187,0.342661,-1.195243,C
-0.831955,0.557753,0.42639,1.367969,2.02715,-1.260911,0.647456,1.384079,0.644093,C
0.308419,-0.228018,-0.031349,-1.903293,0.299519,-1.528325,-0.387731,-0.570427,0.037454,C
2.499224,1.870543,-0.52812,-2.28222,1.263786,-1.039792,-0.090527,-0.17268,0.291269,C
-1.256576,1.628013,-2.669651,0.805884,1.123239,-1.328279,-0.649518,0.093942,-0.667384,C
0.178544,2.215092,-1.647023,-3.223639,-0.111225,-1.072624,0.046318,-0.905258,-0.066685,K
4.392829,2.025724,0.228749,-1.019809,-0.563642,0.661296,0.474072,0.382343,0.129005,C
4.487756,-5.098609,1.586951,4.601711,-4.071077,-3.798166,3.2362,-1.578525,0.801522,C
-6.029763,3.830313,3.441661,0.341877,-4.184666,-1.802149,0.545569,-0.100651,-1.047663,K
-1.945839,0.591216,-3.902644,2.695377,3.894529,-2.95333,-0.484946,0.258308,0.697248,K
3.793116,0.295511,-1.803867,0.382581,-2.249965,0.385783,-0.392093,0.239978,0.10372,K
4.274478,-1.577382,1.055969,1.020669,-1.387305,-2.023834,0.093572,1.64651,0.377956,C
-8.528609,1.659488,1.755459,-1.766826,-2.112846,0.214897,0.186537,0.060444,0.262556,C
2.245933,-0.946754,0.700083,-2.256718,-0.614524,-0.725002,1.098039,0.127984,0.343238,K
2.612279,-0.276363,-0.933041,-0.403588,-0.503375,-1.425195,-0.693666,0.382334,-0.618687,C
2.037125,-1.290226,-0.301625,2.176064,-0.820446,-2.026619,-1.037866,1.082886,-0.618018,C
2.600108,-0.735612,-0.733611,0.278055,-0.252097,-1.245475,-0.877498,0.726925,-0.682047,C
2.697388,0.78664,-0.737691,-1.295815,-1.838125,-0.23741,-0.986263,-0.009963,-0.430625,K
1.825887,1.865428,0.300084,1.782344,-1.303678,0.626437,-0.095123,-0.144299,0.138801,C
2.002186,0.773567,-0.892066,-1.563392,0.383196,-0.357323,-0.008135,0.395577,0.326319,C
2.315674,1.675886,-0.725063,-1.297264,0.196149,0.360576,-0.271908,0.487947,-0.11427,C
-0.496043,-5.224011,2.514878,-0.071977,0.47286,-1.735043,-0.045346,-0.60719,-0.196362,K
2.031255,-2.166382,2.094326,-0.179167,0.21172,-1.485666,-0.726582,-1.516975,-0.23164,K
2.972972,1.278669,-1.171897,0.372694,-0.799546,-1.537166,-0.406831,0.475647,-0.24592,K
-2.064411,-4.082332,-5.797623,0.491098,-2.917636,1.043202,0.232096,-0.087092,-0.117019,K
-3.467972,2.760435,-1.495663,6.118553,0.753964,-0.60163,0.759642,-0.875571,0.343236,K
2.602883,-2.212826,1.176703,0.675386,-0.751811,-1.277852,0.199116,0.010116,0.018222,C
0.602984,0.42434,-2.025372,0.886557,2.002429,0.505333,-0.170311,-0.273305,-1.291421,C
1.32569,-0.652754,-0.534972,-0.877546,-0.959411,-1.688733,0.832874,0.442325,0.279703,C
2.962095,0.638623,1.185253,1.280914,-0.084601,0.608892,0.855761,0.223748,0.210862,C
2.456396,0.057246,-0.543687,-1.324163,0.095324,-2.540997,0.559896,0.515674,0.492711,K
0.416992,0.529151,-0.260662,-0.744142,-1.177544,-1.781162,-0.171327,0.35078,-0.032393,C
0.514952,-4.372671,4.093982,0.560818,-0.220162,-1.700377,-0.622897,-0.767069,-0.367681,K
2.759482,1.428241,1.349935,-0.044179,0.607175,-0.349856,1.045712,-0.92822,-0.021313,C
5.082613,3.104466,-0.79601,-1.54876,-1.462293,0.356493,0.617558,-0.666022,0.14597,C
-1.406109,-1.725788,-0.178647,-1.797086,2.346124,-0.283528,0.318351,-0.450126,-0.607017,C
3.514722,-0.89225,0.811471,-1.717334,-0.93331,-0.974889,-0.135727,0.144329,0.354599,C
-0.645733,-1.789598,1.190881,-1.902999,0.027988,-0.590524,-0.372768,0.689358,0.334787,C
1.607046,-1.52846,-2.957215,0.98737,-0.775669,-1.052238,0.142873,-0.387393,-0.908274,K
-3.365205,-4.325514,0.199473,-1.265755,0.48002,-0.193224,-1.091984,1.212327,-0.486719,K
2.232346,1.412272,-0.258134,-2.515371,0.338543,0.352622,-0.050801,-0.842855,0.290908,C
1.704499,0.827288,1.016807,1.802826,0.417049,-0.921266,-0.358717,-0.405452,-0.664,K
-1.462189,-1.731993,-0.09934,-1.81894,2.369574,-0.568753,0.353813,-0.454227,-0.704842,C
2.053664,-2.183296,2.285082,-0.277519,0.239137,-0.869533,-0.749145,-1.454818,-0.277551,K
2.995381,1.261756,-0.981141,0.274342,-0.772128,-0.921032,-0.429394,0.537804,-0.291832,K
-2.042002,-4.099245,-5.606867,0.392747,-2.890219,1.659336,0.209533,-0.024935,-0.162931,K
2.781891,1.411327,1.540691,-0.14253,0.634593,0.266278,1.023148,-0.866063,-0.067225,C
5.105022,3.087553,-0.605254,-1.647112,-1.434875,0.972627,0.594995,-0.603864,0.100059,C
3.53713,-0.909164,1.002227,-1.815686,-0.905892,-0.358755,-0.15829,0.206487,0.308688,C
2.00948,0.601368,0.032038,-0.252337,-0.851304,0.670659,0.892228,-1.158972,0.518235,C
1.435261,-0.743213,3.156406,2.310993,0.174833,1.967125,-0.696799,0.889685,0.84654,K
-0.442567,-5.623711,3.637355,-0.113524,0.677909,1.262056,0.340542,0.444155,0.126832,K
0.568428,-4.772371,5.216458,0.519271,-0.015113,1.296722,-0.23701,0.284276,-0.044486,K
1.790623,0.554769,0.649821,-0.633691,-3.107928,1.813022,-0.763398,0.348586,-0.793659,K
2.440102,0.833915,0.943605,-0.076555,0.622517,1.576167,0.3861,0.381713,-0.086026,K
-1.31462,-1.834008,0.177509,-1.93283,2.408068,1.089598,0.422843,-0.09615,-0.591504,K
2.064268,-3.411117,0.99008,-2.220093,0.888347,0.66041,0.16175,-0.373842,0.141003,K
1.764568,0.493994,0.650287,-0.58557,-3.111822,1.686086,-0.662437,0.484473,-0.743764,K
2.414046,0.77314,0.944071,-0.028434,0.618623,1.449231,0.48706,0.517601,-0.036131,K
-1.340675,-1.894783,0.177975,-1.884709,2.404174,0.962662,0.523804,0.039737,-0.541609,K
2.038212,-3.471892,0.990546,-2.171972,0.884453,0.533474,0.262711,-0.237954,0.190897,K
0.903561,2.04351,1.034589,0.718901,1.611716,0.933841,0.211003,-0.41046,0.133624,K
0.750314,2.049525,0.879146,0.612401,1.573455,0.76405,0.308128,0.013428,0.100972,K
1.424265,1.927455,0.356868,3.2937,-0.6467,-0.02329,-0.608599,-0.104011,-0.421877,C
2.240154,1.399885,-0.100555,-2.607911,0.369744,0.775623,-0.042649,-0.757317,0.223094,C
1.440333,-0.61823,2.717204,2.534386,0.088425,0.253911,-0.882635,0.141558,0.826565,K
-0.437495,-5.498728,3.198152,0.109869,0.591501,-0.451157,0.154705,-0.303972,0.106857,K
0.5735,-4.647388,4.777256,0.742664,-0.101521,-0.416491,-0.422846,-0.463851,-0.064461,K
-2.224012,-1.164887,-0.463424,1.751133,3.393937,1.033657,1.29625,-0.857319,0.227828,K
2.643269,-0.230355,-0.650355,0.319288,1.312037,0.065226,0.662877,-0.278929,0.184334,K
1.399783,-0.431266,2.283866,2.444965,0.032744,-0.734013,-0.993728,-0.069014,0.622997,K
1.511099,0.569725,1.349566,2.109391,-0.266771,0.385645,0.34694,0.544129,0.325803,C
-1.407128,2.604862,0.692585,-0.400718,0.177212,-0.784572,0.086247,0.106955,0.214901,K
0.44931,3.06639,-0.35735,1.929231,-2.382022,-0.515649,0.174309,-0.832534,-0.328881,C
0.196542,2.127339,-1.397087,-3.131213,-0.048265,-0.776662,0.135276,-0.812612,0.032967,K
4.410827,1.937971,0.478686,-0.927383,-0.500682,0.957257,0.56303,0.474989,0.228657,C
2.172909,-1.400344,1.461606,0.03135,0.203593,-0.713279,0.06216,0.238508,0.538458,K
-1.685198,0.757633,0.495573,-0.427924,2.006845,0.935881,-0.703049,0.216826,-0.069364,C
-8.51061,1.571735,2.005395,-1.6744,-2.049885,0.510858,0.275495,0.15309,0.362207,K
2.263931,-1.034507,0.95002,-2.164292,-0.551564,-0.429041,1.186997,0.220629,0.442889,K
2.715387,0.698887,-0.487754,-1.203389,-1.775165,0.058551,-0.897304,0.082683,-0.330974,C
1.843885,1.777675,0.550021,1.87477,-1.240718,0.922399,-0.006165,-0.051653,0.238452,C
2.020184,0.685814,-0.642129,-1.470966,0.446156,-0.061361,0.080823,0.488222,0.42597,C
2.333673,1.588133,-0.475127,-1.204838,0.25911,0.656538,-0.18295,0.580593,-0.014618,C
-0.478045,-5.311763,2.764815,0.020449,0.53582,-1.439082,0.043612,-0.514545,-0.096711,K
2.99097,1.190917,-0.921961,0.46512,-0.736586,-1.241204,-0.317872,0.568293,-0.146269,C
2.99097,1.190917,-0.921961,0.46512,-0.736586,-1.241204,-0.317872,0.568293,-0.146269,C
-2.046413,-4.170084,-5.547687,0.583524,-2.854676,1.339164,0.321055,0.005553,-0.017368,C
-3.449973,2.672683,-1.245726,6.210979,0.816924,-0.305669,0.8486,-0.782925,0.442887,K
-5.135993,0.702374,2.337595,-0.188138,1.268606,0.274153,-0.563106,-0.399089,-0.216584,K
2.980093,0.55087,1.435189,1.37334,-0.02164,0.904854,0.944719,0.316394,0.310514,C
1.778578,0.74574,1.187438,1.917106,0.456559,-0.340079,-0.30522,-0.308705,-0.466524,K
2.474395,-0.030507,-0.293751,-1.231737,0.158284,-2.245036,0.648855,0.60832,0.592362,K
0.53295,-4.460424,4.343918,0.653244,-0.157202,-1.404416,-0.533939,-0.674424,-0.26803,K
1.319254,0.028932,-0.604241,1.124623,0.415783,0.440857,0.405783,0.519535,-0.011057,C
-0.627734,-1.877351,1.440818,-1.810573,0.090948,-0.294563,-0.283809,0.782004,0.434438,K
1.625044,-1.616213,-2.707278,1.079796,-0.712709,-0.756276,0.231832,-0.294748,-0.808622,K
-1.164371,2.343618,-3.753814,-1.06007,1.349184,-0.963738,-0.507543,-0.860139,-0.213307,C
2.250344,1.324519,-0.008198,-2.422945,0.401503,0.648583,0.038157,-0.750209,0.390559,C
-1.65909,2.460237,0.941682,-0.042452,0.207145,-0.544908,0.193218,0.281019,0.214516,K
-2.475974,-1.309512,-0.214326,2.109399,3.42387,1.273321,1.403221,-0.683255,0.227443,K
2.391307,-0.37498,-0.401258,0.677554,1.34197,0.30489,0.769849,-0.104865,0.183949,K
1.147821,-0.575891,2.532964,2.803231,0.062677,-0.494349,-0.886757,0.10505,0.622612,K
-1.592962,0.388824,-2.131225,1.218681,3.551427,1.418578,-0.299327,0.347017,-0.625063,K
1.259137,0.425099,1.598664,2.467656,-0.236838,0.625309,0.453911,0.718193,0.325418,K
-0.05542,1.982714,-1.147989,-2.772948,-0.018332,-0.536998,0.242248,-0.638548,0.032581,K
-6.263727,3.597935,3.940695,0.792568,-4.091773,-1.266523,0.741498,0.166059,-0.948397,K
-1.93716,0.613008,0.74467,-0.069659,2.036778,1.175545,-0.596078,0.39089,-0.069749,K
