'-0.282ETA_Epsilon_2+0.271MLogP+0.27 SpMin4_Bhm-0.261AATSC0s-0.251Mpe...',-0.309AATSC5c+0.298BCUTc-1l-0.296GATS6c-0.278AVP-2-0.217ATSC3e...,-0.365GGI9-0.345ALogp2-0.301SpMAD_Dze+0.273ETA_AlphaP-0.262ATSC3e...,-0.368nHaaCH-0.368naaCH-0.29AATS3p-0.274AATS0m-0.252maxHBint5...,-0.43SIC4-0.423BIC3-0.278GATS4p+0.271JGT+0.222BCUTc-1l...,'0.371MATS1c+0.345MATS5e_Exp+0.29 MATS3c+0.273AATSC7e_Exp-0.256GATS6c...',-0.411AATSC8c+0.376ATSC1i_Exp+0.293VR1_Dzv+0.271GATS8s_Exp-0.269VR1_D_Exp...,Results
0.374807,0.538344,0.28818,-3.316717,-0.59632,-0.521004,1.655975,1
0.855182,0.515709,-0.269875,1.197993,-0.316393,0.459145,0.166383,1
-1.835035,-0.459246,0.865751,-0.498973,-1.85223,0.149626,-1.084607,0
1.340579,0.596623,0.197649,0.959121,-0.315642,0.872342,0.381432,1
1.731676,-1.232815,1.491093,3.508565,0.146908,-0.003412,-0.756646,1
1.82749,0.625711,1.745801,-0.719843,-0.651629,-0.541661,0.022847,1
0.474112,0.541568,0.166134,-3.184948,-0.617463,-1.282381,0.937297,1
-4.216388,5.333401,2.515398,-2.31663,0.164297,-3.919383,2.436733,1
-0.75327,-0.493309,0.250397,1.253546,-1.959564,-0.151863,-0.019394,0
2.567823,-0.080335,1.922061,-2.352039,-1.278273,0.766635,0.364751,0
0.278328,0.113107,2.428997,-3.258326,0.732173,-1.377337,-0.596637,0
3.096609,0.123641,1.338168,0.348745,1.17687,-1.036345,-0.243722,1
-2.004915,5.275695,-1.971202,0.433666,4.637491,0.074177,0.139406,1
-0.037585,-0.037764,0.371652,-4.184764,1.327207,-1.395247,-1.075896,0
2.669585,1.015829,0.104726,0.117781,-1.033184,-0.411141,0.272889,0
2.44219,-0.598427,-1.342952,-2.276686,0.3721,-0.185806,0.418163,0
2.550504,-0.244865,1.95333,-2.426667,-1.254244,1.223666,1.035632,0
-0.072069,-0.190837,0.389197,-4.256559,1.333541,-0.939877,-0.421361,1
-2.303178,1.110607,-0.842588,1.328455,-2.647838,-1.249239,1.801082,1
