0.283ETA_Epsilon_2-0.27MLogP-0.265SpMin4_Bhm+0.258AATSC0s+0.246Mpe...,0.362GGI9+0.314SpMAD_Dze+0.286ALogp2+0.235SpMin3_Bhp-0.227AVP-2...,0.337BCUTc-1l-0.283ATSC3e+0.274AATS0m+0.229AATS3p-0.222GATS6c...,-0.37nHaaCH-0.37naaCH-0.282AATS3p-0.251maxHBint5-0.247AATS0m...,-0.438SIC4-0.426BIC3+0.261AATSC5c+0.221VR1_Dze+0.206JGT...,-0.332MATS5e_Exp-0.317MATS1c+0.293GATS6c-0.264AATSC7e_Exp-0.251MATS3c...,0.447ATSC1i_Exp-0.409VR1_D_Exp-0.408AATSC3m_Exp+0.284GATS8s_Exp+0.235VR1_Dzv...,-0.357VR1_Dzv-0.332VR1_Dze+0.327AATSC8c-0.294VR1_D_Exp+0.252AATSC5c...,0.416MDEC-13-0.39GATS5e-0.305ALogp2+0.243JGT+0.242AATS3p...,-0.396AATSC7e_Exp+0.342GATS8s_Exp-0.281MATS5e_Exp-0.258ETA_AlphaP+0.228GATS5i...,-0.515ETA_BetaP_Exp+0.376GATS5i-0.33ETA_AlphaP-0.256AATS0m-0.254VR1_D_Exp...,-0.331ETA_BetaP_Exp+0.307AVP-2+0.293GATS8s_Exp-0.287GATS6c+0.286AATSC3m_Exp...,'0.436ATSC7c-0.361MDEC-13-0.306BIC3+0.24 ETA_dEpsilon_D+0.238MATS5e_Exp...',Results
1.691051,-0.789923,-0.525824,-0.614809,-1.984687,0.26061,-0.142908,1.352259,1.008293,1.5589,0.386603,-0.977869,-0.146863,C
8.516464,-1.604025,-2.035646,-1.861285,2.072043,1.225453,-0.735462,3.540108,0.923536,1.133877,1.233567,0.147059,0.363671,K
-2.258078,1.002218,-0.980271,-2.351177,0.573722,-0.107873,1.056095,-0.827793,0.873638,0.193978,-0.80958,0.830257,0.630813,K
-2.709533,-0.731177,0.457503,-1.390274,1.797323,-0.636011,0.971178,-0.714279,0.908687,0.68157,-0.857384,1.00842,0.731891,K
5.5802,1.987794,-1.539872,0.245701,-1.161943,-2.385487,0.499042,-0.676299,-0.127782,2.523597,0.144378,2.69832,0.339834,C
0.483899,5.279474,-2.795066,-0.166436,-0.513663,0.274259,0.858111,0.722578,-0.031922,-0.816063,-0.584704,0.9155,0.441628,K
-2.985117,-1.223206,0.89171,0.278235,0.758743,0.37735,0.77536,1.167484,-1.193351,-0.618185,-0.55372,1.091898,-0.315523,C
2.052266,4.137795,5.517436,0.396639,2.876833,-0.652381,1.186083,1.03288,-0.388914,1.962183,-0.670971,-1.322965,-0.912379,K
-1.772724,-0.778029,-1.217689,1.730221,-0.434402,-1.670487,0.144871,0.765245,0.969586,0.28294,-0.86293,0.467247,-1.541656,K
-2.468541,-0.001783,0.2635,-1.418622,-0.136127,1.943902,2.379194,-1.346732,1.973231,-1.622017,0.308675,-1.226238,-0.288647,K
-0.527096,4.428135,-4.374169,0.466359,0.179359,-0.092971,0.454015,0.983361,-1.295655,-0.781397,-0.788851,0.630022,1.419138,K
1.393964,1.781252,-0.101541,-1.891545,-2.386927,0.385878,1.458173,-0.852399,-0.070092,0.635452,0.139927,0.124648,1.432276,K
0.633588,1.845062,-1.471069,-1.997458,-0.068791,1.267461,0.63656,0.837695,-0.059035,0.328456,0.753249,-0.457575,0.882999,K
3.353061,4.380977,-0.479661,-1.360214,-0.520823,0.005493,1.040494,0.062225,0.659951,0.725756,0.234638,1.310061,0.295088,K
0.181537,-0.282155,0.715221,-4.273564,0.727743,0.899318,0.4153,1.833046,-0.129629,-0.277265,-0.814621,0.785108,-0.782684,K
-1.505246,-0.602014,-1.379817,1.922506,0.288928,0.422883,0.682875,0.462554,-0.267151,1.008664,0.364779,-0.681689,1.202364,K
1.412982,-2.637152,-0.722836,-0.587602,-0.155054,1.410412,0.638177,1.828708,-0.102157,-0.161553,-0.121068,-0.768818,-0.1816,K
0.819811,-0.50229,-0.706577,1.27351,-2.067953,-0.991578,0.431398,1.480836,-1.676646,-0.34193,-0.759864,1.025276,-1.220129,K
-0.443456,-3.09868,0.327099,1.742346,2.404179,0.578963,0.763181,2.219242,0.323329,0.107371,-1.685037,1.452859,1.503612,C
