nHaaCH,minaasC,minsNH2,MDEC-34,nTRing,nT7Ring,Results_2
0.545455,0.887247,0,0,0.028169,0,Y
0.272727,0.487756,0,0,0.007042,0,N
0.727273,0.335567,0,0,0.014085,0,N
0,0.477799,0,0,0.007042,0,Y
0,0.477799,0,0,0.007042,0,Y
0.363636,0.806327,0,0,0.007042,0,Y
0.818182,0.661087,0,0,0.014085,0,Y
0,0.477799,0,0,0.007042,0,Y
0.636364,0.761732,0,0,0.014085,0,N
0.090909,0.553133,0.906396,0,0.021127,0,Y
0.090909,0.553133,0.906396,0,0.021127,0,N
0,0.477799,0.966045,0.13501,0.021127,0,N
0.272727,0.632271,0,0,0.021127,0,Y
0.363636,0.809978,0.921615,0,0.014085,0,N
0,0.477799,0,0.459634,0.028169,0,N
0.363636,0.472053,0,0,0.007042,0,Y
0.363636,0.715899,0.854445,0,0.007042,0,N
0.363636,0.84609,0.926302,0,0.007042,0,N
0.363636,0.641871,0,0.165911,0.042254,0,Y
0,0.477799,0,0,0.007042,0,Y
0.454545,0.719618,0.995824,0,0.028169,0,Y
0.545455,0.887247,0,0,0.028169,0,Y
0.363636,0.575659,0,0,0.007042,0,Y
0.636364,0.774059,0,0,0.014085,0,N
0.818182,0.813269,0,0.185844,0.014085,0,Y
0,0.477799,0,1,0.021127,0,Y
0.272727,0.277671,0,0,0.007042,0,N
0.090909,0.801437,0.82404,0,0.007042,0,N
0.727273,0.661561,0,0.16883,0.014085,0,N
0.454545,0.905026,0,0,0.021127,0,Y
0.181818,0.218712,0,0,0.007042,0,Y
0.545455,0.417716,0,0,0.035211,0,N
0.636364,0.54426,0,0,0.021127,0,Y
0,0.477799,0,0,0.021127,0,Y
0.545455,0.541113,0,0,0.021127,0,Y
0.727273,0.362663,0,0.097445,0.021127,0,N
0.363636,0.806327,0,0,0.007042,0,Y
0.636364,0.68758,0,0,0.028169,0,Y
0.818182,0.661087,0,0,0.014085,0,Y
0,0.477799,0,0.391066,0.056338,0,N
0.454545,0.845518,0.9281,0,0.014085,0,N
0.454545,0.822979,0,0,0.021127,0,N
0.181818,0.073746,0,0.123566,0.014085,0,N
0,0.477799,0.822976,0,0,0,N
0,0.477799,0,0,0.028169,0,Y
